Hexagon Center,Number of Pixels,Alignment Metric,Adjusted Metric,Metric Squared,metric2
"(484.9742261192856, 120.0)",nan,nan,nan,nan,nan
"(554.2562584220407, 120.0)",nan,nan,nan,nan,nan
"(623.5382907247957, 120.0)",129,0.18468031183958278,0.42508194666437493,0.03410681758116554,0.43759322095992675
"(692.8203230275508, 120.0)",62,0.13605395322794145,0.37886994498619325,0.01851067818895088,0.39249838773556134
"(762.102355330306, 120.0)",55,0.49109314636851154,0.6977947127633891,0.2411724784101243,0.7037131953993095
"(831.384387633061, 120.0)",65,0.2144798683384037,0.46521566518223095,0.04600161392245899,0.476756712639856
"(900.6664199358161, 120.0)",149,0.7279043095429223,0.8389359437243817,0.5298446838511585,0.8414423575245811
"(969.9484522385712, 120.0)",87,0.8569327937727673,0.9243283823936165,0.7343338130432001,0.9247704463450459
"(1039.2304845413262, 120.0)",nan,nan,nan,nan,nan
"(1108.5125168440813, 120.0)",nan,nan,nan,nan,nan
"(1177.7945491468365, 120.0)",nan,nan,nan,nan,nan
"(1247.0765814495915, 120.0)",nan,nan,nan,nan,nan
"(1316.3586137523466, 120.0)",nan,nan,nan,nan,nan
"(1385.6406460551016, 120.0)",nan,nan,nan,nan,nan
"(1454.9226783578567, 120.0)",nan,nan,nan,nan,nan
"(1524.204710660612, 120.0)",nan,nan,nan,nan,nan
"(1593.4867429633669, 120.0)",nan,nan,nan,nan,nan
"(1662.768775266122, 120.0)",nan,nan,nan,nan,nan
"(1732.0508075688772, 120.0)",nan,nan,nan,nan,nan
"(1801.3328398716321, 120.0)",nan,nan,nan,nan,nan
"(1870.6148721743873, 120.0)",nan,nan,nan,nan,nan
"(1939.8969044771425, 120.0)",nan,nan,nan,nan,nan
"(2009.1789367798974, 120.0)",nan,nan,nan,nan,nan
"(2078.4609690826524, 120.0)",nan,nan,nan,nan,nan
"(2147.7430013854078, 120.0)",nan,nan,nan,nan,nan
"(2217.0250336881627, 120.0)",nan,nan,nan,nan,nan
"(2286.3070659909176, 120.0)",nan,nan,nan,nan,nan
"(2355.589098293673, 120.0)",nan,nan,nan,nan,nan
"(2424.871130596428, 120.0)",nan,nan,nan,nan,nan
"(2494.153162899183, 120.0)",nan,nan,nan,nan,nan
"(2563.4351952019383, 120.0)",nan,nan,nan,nan,nan
"(34.64101615137754, 180.0)",nan,nan,nan,nan,nan
"(103.92304845413263, 180.0)",nan,nan,nan,nan,nan
"(173.2050807568877, 180.0)",nan,nan,nan,nan,nan
"(242.4871130596428, 180.0)",nan,nan,nan,nan,nan
"(311.76914536239786, 180.0)",nan,nan,nan,nan,nan
"(381.0511776651529, 180.0)",nan,nan,nan,nan,nan
"(450.33320996790803, 180.0)",nan,nan,nan,nan,nan
"(519.6152422706632, 180.0)",nan,nan,nan,nan,nan
"(588.8972745734183, 180.0)",70,0.4475299391891845,0.6536296217658271,0.20028304647067516,0.6606157890860423
"(658.1793068761733, 180.0)",66,0.36976985242394966,0.6034046546836314,0.13672974376162952,0.6116050033156395
"(727.4613391789284, 180.0)",112,0.1027711819164836,0.3263652419721389,0.010561915832510966,0.3412629783195808
"(796.7433714816835, 180.0)",83,0.27505764897938123,0.514279892300442,0.0756567102620645,0.5246348191669475
"(866.0254037844386, 180.0)",190,0.31047645705809024,0.540068444386924,0.09639563038734415,0.5497999367382738
"(935.3074360871937, 180.0)",155,0.38000973953252326,0.599643152593272,0.14440740213957617,0.6079344349940352
"(1004.5894683899488, 180.0)",197,0.406009056079605,0.6195692732658002,0.16484335361865185,0.6273788445825618
"(1073.8715006927036, 180.0)",155,0.35476158359581156,0.5872294874544886,0.125855781195408,0.5958208684137575
"(1143.1535329954588, 180.0)",53,0.964729154834226,0.993867814311228,0.9307023421871601,0.9926287725582201
"(1212.435565298214, 180.0)",nan,nan,nan,nan,nan
"(1281.717597600969, 180.0)",nan,nan,nan,nan,nan
"(1350.999629903724, 180.0)",nan,nan,nan,nan,nan
"(1420.281662206479, 180.0)",nan,nan,nan,nan,nan
"(1489.5636945092342, 180.0)",nan,nan,nan,nan,nan
"(1558.8457268119894, 180.0)",nan,nan,nan,nan,nan
"(1628.1277591147443, 180.0)",nan,nan,nan,nan,nan
"(1697.4097914174995, 180.0)",nan,nan,nan,nan,nan
"(1766.6918237202547, 180.0)",nan,nan,nan,nan,nan
"(1835.9738560230096, 180.0)",nan,nan,nan,nan,nan
"(1905.2558883257648, 180.0)",nan,nan,nan,nan,nan
"(1974.53792062852, 180.0)",nan,nan,nan,nan,nan
"(2043.8199529312749, 180.0)",nan,nan,nan,nan,nan
"(2113.10198523403, 180.0)",nan,nan,nan,nan,nan
"(2182.3840175367854, 180.0)",nan,nan,nan,nan,nan
"(2251.6660498395404, 180.0)",nan,nan,nan,nan,nan
"(2320.9480821422953, 180.0)",nan,nan,nan,nan,nan
"(2390.2301144450507, 180.0)",nan,nan,nan,nan,nan
"(2459.5121467478057, 180.0)",nan,nan,nan,nan,nan
"(2528.7941790505606, 180.0)",nan,nan,nan,nan,nan
"(2598.076211353316, 180.0)",nan,nan,nan,nan,nan
"(0.0, 240.0)",nan,nan,nan,nan,nan
"(69.28203230275508, 240.0)",nan,nan,nan,nan,nan
"(138.56406460551017, 240.0)",nan,nan,nan,nan,nan
"(207.84609690826525, 240.0)",nan,nan,nan,nan,nan
"(277.12812921102034, 240.0)",nan,nan,nan,nan,nan
"(346.4101615137754, 240.0)",nan,nan,nan,nan,nan
"(415.6921938165305, 240.0)",nan,nan,nan,nan,nan
"(484.9742261192856, 240.0)",nan,nan,nan,nan,nan
"(554.2562584220407, 240.0)",208,0.0619696130414471,0.24489580591146054,0.0038402329405066906,0.26176305408725853
"(623.5382907247957, 240.0)",187,0.12873029242300094,0.35012230463234495,0.016571488187311332,0.36444571742756016
"(692.8203230275508, 240.0)",150,0.5906179780306049,0.7474358945066584,0.3488295959729601,0.7521543087568823
"(762.102355330306, 240.0)",197,0.21905266782708432,0.4587336311040299,0.04798407128216294,0.47043138079756236
"(831.384387633061, 240.0)",176,0.3590237939140617,0.5835355449563119,0.12889808459644664,0.5922162264409706
"(900.6664199358161, 240.0)",176,0.4791055200623797,0.6740325246414952,0.22954209935424333,0.680525454736937
"(969.9484522385712, 240.0)",162,0.4536624006907315,0.6649909070723351,0.20580957380047782,0.6717024169642133
"(1039.2304845413262, 240.0)",136,0.5478086333252341,0.7226512910671166,0.3000942987456608,0.7279688695192252
"(1108.5125168440813, 240.0)",212,0.2332061314790037,0.46983646940210094,0.05438509975940237,0.4812658095863287
"(1177.7945491468365, 240.0)",217,0.12971924728147077,0.36029562908226426,0.01682708311527136,0.3743731032309557
"(1247.0765814495915, 240.0)",123,0.6475119545984633,0.7980125599888721,0.41927173134792245,0.8015082906693726
"(1316.3586137523466, 240.0)",48,0.958979404107249,0.9885791765764537,0.9196414975018944,0.9874679868754321
"(1385.6406460551016, 240.0)",nan,nan,nan,nan,nan
"(1454.9226783578567, 240.0)",nan,nan,nan,nan,nan
"(1524.204710660612, 240.0)",nan,nan,nan,nan,nan
"(1593.4867429633669, 240.0)",nan,nan,nan,nan,nan
"(1662.768775266122, 240.0)",nan,nan,nan,nan,nan
"(1732.0508075688772, 240.0)",nan,nan,nan,nan,nan
"(1801.3328398716321, 240.0)",nan,nan,nan,nan,nan
"(1870.6148721743873, 240.0)",nan,nan,nan,nan,nan
"(1939.8969044771425, 240.0)",nan,nan,nan,nan,nan
"(2009.1789367798974, 240.0)",nan,nan,nan,nan,nan
"(2078.4609690826524, 240.0)",nan,nan,nan,nan,nan
"(2147.7430013854078, 240.0)",nan,nan,nan,nan,nan
"(2217.0250336881627, 240.0)",nan,nan,nan,nan,nan
"(2286.3070659909176, 240.0)",nan,nan,nan,nan,nan
"(2355.589098293673, 240.0)",nan,nan,nan,nan,nan
"(2424.871130596428, 240.0)",nan,nan,nan,nan,nan
"(2494.153162899183, 240.0)",nan,nan,nan,nan,nan
"(2563.4351952019383, 240.0)",nan,nan,nan,nan,nan
"(34.64101615137754, 300.0)",nan,nan,nan,nan,nan
"(103.92304845413263, 300.0)",nan,nan,nan,nan,nan
"(173.2050807568877, 300.0)",nan,nan,nan,nan,nan
"(242.4871130596428, 300.0)",nan,nan,nan,nan,nan
"(311.76914536239786, 300.0)",nan,nan,nan,nan,nan
"(381.0511776651529, 300.0)",nan,nan,nan,nan,nan
"(450.33320996790803, 300.0)",nan,nan,nan,nan,nan
"(519.6152422706632, 300.0)",138,0.09056699381087285,0.3084290482692371,0.008202380367938682,0.3237603895041271
"(588.8972745734183, 300.0)",205,0.4221945454882279,0.6305890807250759,0.17824823424001132,0.6381322497910463
"(658.1793068761733, 300.0)",132,0.25977452833189196,0.4984884855394019,0.06748280557005694,0.509225167379381
"(727.4613391789284, 300.0)",225,0.16944824982961304,0.3995458065928015,0.028712709370318956,0.412674413379572
"(796.7433714816835, 300.0)",184,0.5527454927999513,0.7237185561753144,0.30552757981066103,0.7290103336478628
"(866.0254037844386, 300.0)",232,0.4210835941535107,0.629048958810878,0.1773113932652385,0.6366293601012726
"(935.3074360871937, 300.0)",189,0.447807018508698,0.6512564054822427,0.20053112582564936,0.6582999449627156
